ano;quantidade_horas_contratadas
1994;33.675738776599296
1995;33.81159876582079
1996;33.74693194496095
1997;33.913591359135914
1998;33.935057089349364
1999;34.28364132456902
2000;34.642534441407776
2001;34.7949928057554
2002;34.82664800048694
2003;37.61235905176241
2004;38.30694769711163
2005;38.35434195549802
2006;38.5232980936968
2007;38.82220855121501
2008;38.75926954714073
2009;38.32756327360059
2010;38.81087696725299
2011;38.25124653739612
2012;38.03912308231387
2013;38.1004258498319
2014;37.793527124719034
2015;37.5686079363041
2016;37.43024536288241
2017;37.18097954615204
2018;36.909525344660835
2019;37.37920790131229
2020;37.06435245343729
2021;37.27181994093085
