ano;total;;ano_pre2002;total_pre2002;;ano_pos2002;total_pos2002
1985;51;;1985;51;;2003;827
1986;54;;1986;54;;2004;2453
1987;47;;1987;47;;2005;3889
1988;48;;1988;48;;2006;3849
1989;76;;1989;76;;2007;3681
1990;44;;1990;44;;2008;3016
1991;56;;1991;56;;2009;1079
1992;80;;1992;80;;2010;7102
1993;117;;1993;117;;2011;3186
1994;16;;1994;16;;2012;1402
1995;12;;1995;12;;2013;1106
1996;14;;1996;14;;2014;1136
1997;46;;1997;46;;2015;900
1998;15;;1998;15;;2016;788
1999;28;;1999;28;;2017;535
2000;37;;2000;37;;2018;897
2001;97;;2001;97;;2019;1340
2002;54;;2002;54;;2020;1041
2003;827;;;;;;
2004;2453;;;;;;
2005;3889;;;;;;
2006;3849;;;;;;
2007;3681;;;;;;
2008;3016;;;;;;
2009;1079;;;;;;
2010;7102;;;;;;
2011;3186;;;;;;
2012;1402;;;;;;
2013;1106;;;;;;
2014;1136;;;;;;
2015;900;;;;;;
2016;788;;;;;;
2017;535;;;;;;
2018;897;;;;;;
2019;1340;;;;;;
2020;1041;;;;;;
