;fracao
0;0.009221418841035315
1;0.013401516487391994
2;0.011695906432748537
3;0.013414325487218427
4;0.013332351208014143
5;0.012543285879184301
6;0.01695859872611465
7;0.023351188483428188
8;0.029333117251438296
9;0.016148469510725474
10;0.019282653547056022
11;0.019501974373438632
12;0.02284752284752285
13;0.028466041215620238
14;0.025301991511589943
15;0.03305482263265904
16;0.04851985559566787
17;0.029113557358053304
18;0.028275437636761488
19;0.07189331770222743
20;0.09622188682979935
21;0.08689468337284117
22;0.07488251927497609
23;0.0569002924252429
24;0.02085306224996618
25;0.11549094220574364
26;0.051122414595401226
27;0.02213695861557166
28;0.0170876786404017
29;0.017815695376701586
30;0.01493627190653213
31;0.013979810882253802
32;0.009956637448123128
33;0.01752671994372692
34;0.02627038895859473
35;0.02152427425357704
36;0.02323588812501275
