ano;fracao;;ano_crescimento;fracao_crescimento;;ano_atual;fracao_atual
1985;0.014907921660333235;;1985;0.014907921660333235;;2017;0.009591767215877513
1986;0.013199706673185041;;1986;0.013199706673185041;;2018;0.016892973502325843
1987;0.011043233082706766;;1987;0.011043233082706766;;2019;0.025396103403835947
1988;0.011304757418747056;;1988;0.011304757418747056;;2020;0.0208546186669872
1989;0.017217942908926143;;1989;0.017217942908926143;;;
1990;0.00954653937947494;;1990;0.00954653937947494;;;
1991;0.011902231668437832;;1991;0.011902231668437832;;;
1992;0.016122531237404272;;1992;0.016122531237404272;;;
1993;0.024228618761648373;;1993;0.024228618761648373;;;
1994;0.0032401782098015392;;1994;0.0032401782098015392;;;
1995;0.002168021680216802;;1995;0.002168021680216802;;;
1996;0.002843794434288036;;1996;0.002843794434288036;;;
1997;0.009246231155778894;;1997;0.009246231155778894;;;
1998;0.0032278889606197547;;1998;0.0032278889606197547;;;
1999;0.006153846153846154;;1999;0.006153846153846154;;;
2000;0.007750314201927106;;2000;0.007750314201927106;;;
2001;0.019322709163346614;;2001;0.019322709163346614;;;
2002;0.011154720099153068;;2002;0.011154720099153068;;;
2003;0.024403918791312557;;2003;0.024403918791312557;;;
2004;0.06366137236582581;;2004;0.06366137236582581;;;
2005;0.08641838140527087;;2005;0.08641838140527087;;;
2006;0.08048596880097027;;2006;0.08048596880097027;;;
2007;0.07032593328493371;;2007;0.07032593328493371;;;
2008;0.05380141995790075;;2008;0.05380141995790075;;;
2009;0.019808341900425908;;2009;0.019808341900425908;;;
2010;0.11088385454886103;;2010;0.11088385454886103;;;
2011;0.0488088854844887;;;;;;
2012;0.021237275811924382;;;;;;
2013;0.016432657306292252;;;;;;
2014;0.01716764141391244;;;;;;
2015;0.014382281029771321;;;;;;
2016;0.013491071581434368;;;;;;
2017;0.009591767215877513;;;;;;
2018;0.016892973502325843;;;;;;
2019;0.025396103403835947;;;;;;
2020;0.0208546186669872;;;;;;
