ano;total;;ano_pre2002;total_pre2002;;ano_pos2002;total_pos2002;;ano_queda;total_queda
1985;3421;;1985;3421;;2003;33888;;2013;67305
1986;4091;;1986;4091;;2004;38532;;2014;66171
1987;4256;;1987;4256;;2005;45002;;2015;62577
1988;4246;;1988;4246;;2006;47822;;2016;58409
1989;4414;;1989;4414;;2007;52342;;2017;55777
1990;4609;;1990;4609;;2008;56058;;2018;53099
1991;4705;;1991;4705;;2009;54472;;2019;52764
1992;4962;;1992;4962;;2010;64049;;2020;49917
1993;4829;;1993;4829;;2011;65275;;;
1994;4938;;1994;4938;;2012;66016;;;
1995;5535;;1995;5535;;2013;67305;;;
1996;4923;;1996;4923;;2014;66171;;;
1997;4975;;1997;4975;;2015;62577;;;
1998;4647;;1998;4647;;2016;58409;;;
1999;4550;;1999;4550;;2017;55777;;;
2000;4774;;2000;4774;;2018;53099;;;
2001;5020;;2001;5020;;2019;52764;;;
2002;4841;;2002;4841;;2020;49917;;;
2003;33888;;;;;;;;;
2004;38532;;;;;;;;;
2005;45002;;;;;;;;;
2006;47822;;;;;;;;;
2007;52342;;;;;;;;;
2008;56058;;;;;;;;;
2009;54472;;;;;;;;;
2010;64049;;;;;;;;;
2011;65275;;;;;;;;;
2012;66016;;;;;;;;;
2013;67305;;;;;;;;;
2014;66171;;;;;;;;;
2015;62577;;;;;;;;;
2016;58409;;;;;;;;;
2017;55777;;;;;;;;;
2018;53099;;;;;;;;;
2019;52764;;;;;;;;;
2020;49917;;;;;;;;;
