ano;tempo_emprego
1994;35.56768292682927
1995;34.05888396312715
1996;34.04410830225169
1997;33.129079288995406
1998;34.25919176976869
1999;34.563156053184045
2000;31.235626673308015
2001;32.28747346072187
2002;34.12838395454238
2003;33.231458705283345
2004;31.562874371859298
2005;28.569081855720185
2006;27.957078137512873
2007;27.57910167261793
2008;27.70465265615879
2009;26.789096149227444
2010;25.521868016523328
2011;27.508475707421248
2012;28.449158310343115
2013;27.84335866752911
2014;30.023488276429454
2015;33.302341289283966
2016;36.774157622054986
2017;35.90831728840754
2018;37.0928220338983
2019;38.06281526704336
2020;40.01818623819226
2021;36.201227384307664
